Snapshot Date;Sales Order;Item;Customer ID;Customer;Channel;Material ID;SKU Description;Category;Plant;Requested Date;Order Qty;Confirmed Qty;Open Qty;Net Value (R$);Rejection Code;Rejection Reason;Order Status;Faturamento;Causa;Plant Original;Base Forecast Qty;Demand Sensing Forecast Qty;Forecast Variation %;Total Capacity;Occupied Capacity;Available Capacity;Utilization %;Demand Sensing Forecast Qty_Warehouse;Projected Occupancy;Projected Utilization %;Capacity Status;Rejected Value (R$);Forecast Variation %;Demand Risk;Capacity Risk;Supply Risk Score;Supply Risk
2026-08-18;45000001;10;C0001;Mon Minou Shopping Morumbi;Loja Própria;MM30-ML-01;Barra Chocolate ao Leite 30g;Barras;SP01;2026-08-18;200;200;0;2980;—;Not Rejected;Confirmed;2980.0;Not Rejected;SP01;2400.0;2280.0;-0.050000000000000044;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;0.0;-0.050000000000000044;Normal;Critical;2;Attention
2026-08-18;45000002;10;C0002;Mon Minou Shopping Eldorado;Loja Própria;MM30-GC-01;Barra Gold Caramel 30g;Barras;SP01;2026-08-18;180;180;0;2880;—;Not Rejected;Confirmed;2880.0;Not Rejected;SP01;810.0;891.0000000000001;0.10000000000000009;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;11205.0;0.10000000000000009;Critical;Critical;4;Critical
2026-08-18;45000003;10;C0003;Mon Minou Shopping Iguatemi;Loja Própria;MM75-RB-01;Barra Chocolate Raspberry 75g;Barras;SP01;2026-08-19;120;120;0;4188;—;Not Rejected;Confirmed;4188.0;Not Rejected;SP01;120.0;114.0;-0.050000000000000044;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;10470.0;0.08252427184466016;Attention;Critical;3;Critical
2026-08-18;45000004;10;C0101;Supermercado KA Alpha;Supermercado KA;MM75-60-01;Barra Chocolate 60% 75g;Barras;SP01;2026-08-19;500;500;0;17450;—;Not Rejected;Confirmed;17450.0;Not Rejected;SP01;500.0;475.0;-0.050000000000000044;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;0.0;-0.050000000000000044;Normal;Critical;2;Attention
2026-08-18;45000005;10;C0102;Supermercado KA Beta;Supermercado KA;MM75-LS-01;Barra Chocolate Branco Limão Siciliano 75g;Barras;SP01;2026-08-20;800;650;150;27920;—;Not Rejected;Partially Confirmed;27920.0;Not Rejected;SP01;1295.0;1424.5000000000002;0.10000000000000009;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;12215.0;0.10000000000000009;Critical;Critical;4;Critical
2026-08-18;45000006;10;C0103;Supermercado KA Gamma;Supermercado KA;MM75-RB-01;Barra Chocolate Raspberry 75g;Barras;SP01;2026-08-18;1000;700;300;34900;ZC1;Corte CSL;Partially Confirmed;24430.0;Corte CSL;SP01;910.0;1001.0000000000001;0.10000000000000009;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;10470.0;0.08252427184466016;Attention;Critical;3;Critical
2026-08-18;45000007;10;C0104;Supermercado KA Delta;Supermercado KA;MM09-BN-01;Caixa 9 Bonbons Sortidos;Bonbons;SP01;2026-08-21;300;300;0;20700;—;Not Rejected;Confirmed;20700.0;Not Rejected;SP01;300.0;285.0;-0.050000000000000044;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;17250.0;0.021739130434782705;Normal;Critical;2;Attention
2026-08-18;45000008;10;C0105;Supermercado KA Épsilon;Supermercado KA;MM09-BN-01;Caixa 9 Bonbons Sortidos;Bonbons;SP01;2026-08-18;250;0;250;17250;ZP1;Crítica de Preço;Rejected;0.0;Crítica de Preço;SP01;275.0;302.5;0.10000000000000009;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;17250.0;0.021739130434782705;Normal;Critical;2;Attention
2026-08-18;45000009;10;C0201;Distribuidor SP Capital;Distribuidor;MM30-ML-01;Barra Chocolate ao Leite 30g;Barras;RJ01;2026-08-20;1500;1500;0;18675;—;Not Rejected;Confirmed;18675.0;Not Rejected;SP01;1500.0;1425.0;-0.050000000000000044;4705.882352941177;4000;705.8823529411766;0.85;3800.0;5900.0;1.25375;Critical;0.0;-0.050000000000000044;Normal;Critical;2;Attention
2026-08-18;45000010;10;C0202;Distribuidor Litoral SP;Distribuidor;MM30-GC-01;Barra Gold Caramel 30g;Barras;MG01;2026-08-20;2000;1200;800;24840;ZC1;Corte CSL;Partially Confirmed;14904.0;Corte CSL;SP01;1760.0;1936.0000000000002;0.10000000000000009;8000.0;6800;1200.0;0.85;6400.0;9000.0;1.125;Critical;9936.0;0.10000000000000009;Critical;Critical;4;Critical
2026-08-18;45000011;10;C0203;Distribuidor Interior SP;Distribuidor;MM75-60-01;Barra Chocolate 60% 75g;Barras;RJ01;2026-08-22;800;800;0;27920;—;Not Rejected;Confirmed;27920.0;Not Rejected;SP01;800.0;760.0;-0.050000000000000044;4705.882352941177;4000;705.8823529411766;0.85;3800.0;5900.0;1.25375;Critical;0.0;-0.050000000000000044;Normal;Critical;2;Attention
2026-08-18;45000012;10;C0204;Distribuidor Sul;Distribuidor;MM06-BN-01;Caixa 6 Bonbons Sortidos;Bonbons;MG01;2026-08-23;500;0;500;23500;ZS1;Cliente Suspenso;Rejected;0.0;Cliente Suspenso;SP01;350.0;385.00000000000006;0.10000000000000009;8000.0;6800;1200.0;0.85;6400.0;9000.0;1.125;Critical;23500.0;0.10000000000000009;Critical;Critical;4;Critical
2026-08-18;45000013;10;C0301;Farma Rede A;Farma;MM30-ML-01;Barra Chocolate ao Leite 30g;Barras;SP01;2026-08-19;1000;1000;0;12450;—;Not Rejected;Confirmed;12450.0;Not Rejected;SP01;1600.0;1520.0;-0.050000000000000044;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;0.0;-0.050000000000000044;Normal;Critical;2;Attention
2026-08-18;45000014;10;C0302;Farma Rede B;Farma;MM30-RB-01;Barra Chocolate Raspberry 30g;Barras;MG01;2026-08-19;1200;1200;0;16680;—;Not Rejected;Confirmed;16680.0;Not Rejected;SP01;1200.0;1140.0;-0.050000000000000044;8000.0;6800;1200.0;0.85;6400.0;9000.0;1.125;Critical;0.0;-0.050000000000000044;Normal;Critical;2;Attention
